Name,Value,Wage
Mario Gaspar Pérez Martínez,€11000K,€35K
Sergio Escudero Palomo,€10500K,€20K
Enrique García Martínez,€12500K,€32K
Elkeson de Oliveira Cardoso,€12500K,€33K
Fabián Orellana,€7500K,€28K
Shkodran Mustafi,€13000K,€76K
Maicon Pereira Roque,€10000K,€42K
Javier Pastore,€11500K,€47K
Benjamin André,€11000K,€42K
Kamil Glik,€9500K,€40K
Iago Falqué Silva,€12500K,€56K
José Ángel Valdés Díaz,€10500K,€27K
Vicente Guaita Panadero,€7500K,€45K
Jack Wilshere,€13000K,€83K
Shinji Kagawa,€12000K,€14K
Salomón Rondón,€12500K,€20K
Senad Lulić,€7500K,€53K
Alex Teixeira dos Santos,€12500K,€30K
Artem Dzyuba,€0,€0
Fedor Smolov,€12500K,€62K
Kwadwo Asamoah,€10000K,€60K
Sven Ulreich,€8500K,€68K
Cristhian Stuani,€10000K,€15K
Nikola Kalinić,€11500K,€51K
Joshua King,€14500K,€77K
Ömer Toprak,€10500K,€32K
Mariano Ferreira Filho,€5500K,€64K
Yuri Berchiche Izeta,€10500K,€27K
Fabian Delph,€11000K,€80K
Mamadou Sakho,€12000K,€58K
Max-Alain Gradel,€11000K,€38K
Anthony Modeste,€11500K,€36K
Adam Lallana,€11000K,€89K
Séamus Coleman,€10000K,€76K
Ruud Vormer,€11000K,€28K
Éder Citadin Martins,€10000K,€29K
Esteban Granero Molina,€11000K,€33K
Ángel Luís Rodríguez Díaz,€10000K,€31K
Ignacio Monreal Eraso,€5500K,€30K
Nahuel Guzmán,€7000K,€56K
Kevin-Prince Boateng,€10000K,€63K
Iván Marcano Sierra,€8000K,€15K
Antonio Candreva,€10000K,€65K
Domenico Criscito,€8000K,€20K
Niklas Moisander,€6000K,€31K
Diego Valeri,€7500K,€11K
Ronaldo Aparecido Rodrigues,€2500K,€29K
Jonny Evans,€9500K,€76K
Martin Škrtel,€4700K,€40K
Borja Valero Iglesias,€6500K,€65K
Loïc Perrin,€6000K,€35K
Ezequiel Lavezzi,€6500K,€21K
Mathieu Debuchy,€5500K,€35K
Dante Bonfim Costa Santos,€3800K,€25K
Antonio Mirante,€3400K,€22K
Burak Yılmaz,€8000K,€76K
David Villa Sánchez,€4500K,€10K
Federico Luis Contedo,€0,€0
Giovanni Luis Quintana,€0,€0
Edgar Manuel Guichón,€0,€0
Aluísio Chaves Rib. Moraes Júnior,€8500K,€1K
Francisco Reis Ferreira,€14500K,€12K
Fernando Calero Villa,€13000K,€23K
Nemanja Maksimović,€14000K,€22K
Enis Bardhi,€13500K,€23K
Michael Ngadeu,€10500K,€23K
Jean-Philippe Mateta,€15000K,€29K
Aarón Martín Caricol,€12500K,€24K
Matías Zaracho,€16000K,€18K
Cengiz Ünder,€15500K,€35K
Ismaïla Sarr,€17000K,€47K
Florian Neuhaus,€15500K,€26K
Declan Rice,€15000K,€49K
Bruno Viana Willemen Da Silva,€12000K,€13K
Henry Onyekuru,€15500K,€35K
Denzel Dumfries,€12000K,€16K
Yusuf Yazıcı,€14000K,€35K
Issa Diop,€14000K,€59K
Exequiel Palacios,€16500K,€19K
Sidney Adrián Pessoa Vidigal,€9500K,€27K
Everton Jorge Simão Resende,€7500K,€29K
Claudio Nuno Coíntra Calegari,€4500K,€22K
Ronaldo Diego Esler Domingues,€7500K,€34K
Georgiy Dzhikiya,€12500K,€49K
Sergio Guardiola Navarro,€10500K,€26K
Denis Zakaria,€15000K,€26K
Simon Deli,€11000K,€23K
Oleksandr Zinchenko,€13000K,€82K
Lucas Tousart,€12500K,€50K
Daniel Castelo Podence,€14000K,€1K
Benjamin Verbič,€13000K,€1K
Martín Campaña,€7000K,€18K
Nadiem Amiri,€14500K,€50K
Ellyes Skhiri,€12000K,€24K
Alex Meret,€14000K,€36K
Jonathan Bamba,€14500K,€35K
Joan Jordán Moreno,€13500K,€17K
Joachim Andersen,€14000K,€50K
Omar Al Soma,€10000K,€45K
Joelinton Apolinário de Lira,€14500K,€41K
Gabriel Arias,€6500K,€18K
Martin Ødegaard,€14500K,€25K
Nico Elvedi,€13000K,€24K
Yerry Mina,€12500K,€59K
Mbaye Diagne,€11000K,€28K
Hans Hateboer,€13000K,€50K
Baptiste Santamaria,€12500K,€21K
Rodrigo Battaglia,€10500K,€15K
Guillermo Maripán,€12000K,€35K
Mahmoud Dahoud,€14000K,€58K
Bartolomeu Quissanga,€10500K,€44K
Jean Michaël Seri,€10500K,€64K
Marcelo Augusto Ferreira Teixeira,€7500K,€16K
Nery Domínguez,€9000K,€23K
Ignacio Fernández,€10000K,€27K
Aleksandar Mitrović,€13500K,€45K
Ayoze Pérez Gutiérrez,€13000K,€79K
Nikola Maksimović,€10500K,€54K
Rúben Miguel Nunes Vezo,€12500K,€23K
Emiliano Rigoni,€12000K,€37K
Renzo Saravia,€11500K,€14K
Guido Herrera,€9000K,€15K
Alejandro Donatti,€6500K,€22K
Juan Musso,€10000K,€14K
Carlos Izquierdoz,€8500K,€24K
Wilmar Barrios,€0,€0
Germán Cano,€9500K,€6K
Benjamin Bourigeaud,€13000K,€41K
Alexey Miranchuk,€14000K,€43K
Erick Pulgar,€12500K,€45K
Diego Laxalt,€11000K,€45K
Flavien Tait,€12000K,€43K
Guélor Kanga,€10500K,€1K
Divock Origi,€14000K,€77K
Mario Lemina,€13000K,€61K
Rodrigo Javier De Paul,€14000K,€21K
Leander Dendoncker,€13500K,€66K
José Pedro Malheiro de Sá,€9500K,€1K
Roberto Gagliardini,€12000K,€51K
Max Meyer,€13500K,€48K
Vincenzo Grifo,€12000K,€28K
Ibrahim Amadou,€12000K,€46K
Armindo Tué Na Bangna,€13000K,€19K
Domenico Berardi,€13000K,€50K
Jonas Hofmann,€12000K,€30K
Gaëtan Laborde,€14000K,€36K
Florent Mollet,€12000K,€34K
Óliver Torres Muñoz,€13500K,€17K
Omar Mascarell González,€11500K,€30K
Hiroki Sakai,€8500K,€36K
Marten de Roon,€10500K,€54K
Christophe Hérelle,€11000K,€31K
Bryan Cristante,€14000K,€37K
Bertrand Traoré,€13500K,€61K
Guido Pizarro,€9000K,€66K
Robin Olsen,€7500K,€27K
Leonardo Pavoletti,€10000K,€38K
Zouhair Feddal,€8500K,€25K
Jorge Djaniny Tavares Semedo,€10500K,€47K
Jean-Paul Boëtius,€13000K,€29K
Soualiho Meïté,€13000K,€43K
Okay Yokuşlu,€13000K,€22K
Denis Suárez Fernández,€13000K,€25K
Santiago García,€10500K,€17K
Konstantinos Fortounis,€12500K,€1K
Tonny Vilhena,€0,€0
Jamaal Lascelles,€12000K,€37K
André Carrillo,€10500K,€43K
Álvaro González Soberón,€8500K,€36K
Gregoire Defrel,€10500K,€59K
Jannik Vestergaard,€11000K,€51K
Alexander Schwolow,€8500K,€20K
Fernando Lucas Martins,€11000K,€20K
Diego Demme,€10500K,€45K
Jeffrey Gouweleeuw,€9500K,€25K
Edinaldo Gomes Pereira,€8500K,€27K
Remo Freuler,€11500K,€52K
Marcos Rojo,€8500K,€95K
Jordan Veretout,€12500K,€42K
Gastón Ramírez,€10500K,€39K
David López Silva,€10000K,€29K
Matt Doherty,€10500K,€69K
Agustín Marchesín,€6500K,€11K
Pedro Filipe Teodósio Mendes,€10000K,€33K
Mark Uth,€11000K,€36K
Bruno González Cabrera,€8500K,€25K
Sebastian Rode,€9000K,€35K
Lewis Dunk,€11000K,€46K
Manuel Agudo Durán,€8000K,€19K
Michael Gregoritsch,€13500K,€26K
Vincent Aboubakar,€12000K,€17K
Kévin Malcuit,€9000K,€54K
Benjamin Stambouli,€9000K,€32K
Sérgio Miguel Relvas de Oliveira,€11500K,€15K
Florian Lejeune,€10500K,€41K
Nicolás Lodeiro,€10000K,€10K
Georgiy Dzhikiya,€12500K,€49K
Sérgio Miguel Relvas de Oliveira,€11500K,€15K
Divock Origi,€14000K,€77K
Kevin Mirallas,€9000K,€15K
Baptiste Santamaria,€12500K,€21K
Okay Yokuşlu,€13000K,€22K
Fernando Lucas Martins,€11000K,€20K
Michael Ngadeu,€10500K,€23K
Jaume Vicent Costa Jordá,€7500K,€33K
Jonas Hofmann,€12000K,€30K
Matías Zaracho,€16000K,€18K
Felipe Caicedo,€10000K,€52K
Diego Laxalt,€11000K,€45K
Carlos Tévez,€4500K,€19K
Andrea Masiello,€4900K,€48K
Vincent Aboubakar,€12000K,€17K
Fernando Calero Villa,€13000K,€23K
Lucas Tousart,€12500K,€50K
Victor Moses,€10500K,€66K
Aleksandar Mitrović,€13500K,€45K
Julian Baumgartlinger,€8000K,€53K
Armindo Tué Na Bangna,€13000K,€19K
Nikola Maksimović,€10500K,€54K
Markel Susaeta Laskurain,€9000K,€17K
Vitorino Hilton da Silva,€0,€21K
Jean-Philippe Mateta,€15000K,€29K
Hugo Mallo Novegil,€9000K,€25K
Ibrahim Amadou,€12000K,€46K
Max Meyer,€13500K,€48K
Álvaro González Soberón,€8500K,€36K
Enis Bardhi,€13500K,€23K
Rodrigo Battaglia,€10500K,€15K
Roberto Gagliardini,€12000K,€51K
Hans Hateboer,€13000K,€50K
Daniel Ginczek,€10500K,€52K
Germán Cano,€9500K,€6K
Ignacio Fernández,€10000K,€27K
Florian Neuhaus,€15500K,€26K
Andy Delort,€12000K,€37K
Juan Musso,€10000K,€14K
Robin Olsen,€7500K,€27K
Oscar De Marcos Arana,€8000K,€23K
Matt Doherty,€10500K,€69K
Guillermo Ochoa,€5500K,€41K
Martin Ødegaard,€14500K,€25K
Orestis Karnezis,€5500K,€44K
Konstantinos Fortounis,€12500K,€1K
Benjamin Verbič,€13000K,€1K
Daniel Castelo Podence,€14000K,€1K
Rafael Tolói,€10500K,€50K
Yusuf Yazıcı,€14000K,€35K
Issa Diop,€14000K,€59K
Guido Herrera,€9000K,€15K
Renzo Saravia,€11500K,€14K
Everton Jorge Simão Resende,€7500K,€29K
Jose Holebas,€2900K,€42K
Jeffrey Gouweleeuw,€9500K,€25K
José Pedro Malheiro de Sá,€9500K,€1K
Emiliano Rigoni,€12000K,€37K
Joachim Andersen,€14000K,€50K
Jamaal Lascelles,€12000K,€37K
Martín Cáceres,€6500K,€48K
Mahmoud Dahoud,€14000K,€58K
Mbaye Diagne,€11000K,€28K
Ryad Boudebouz,€10000K,€36K
Daniel Filipe Martins Carriço,€8500K,€17K
Pedro Filipe Teodósio Mendes,€10000K,€33K
David Abraham,€6500K,€33K
Oleksandr Zinchenko,€13000K,€82K
Valter Birsa,€8000K,€35K
Ryan Bertrand,€8500K,€53K
James Tomkins,€8500K,€51K
Guilherme Alvim Marinato,€5500K,€37K
Lewis Dunk,€11000K,€46K
Omar Mascarell González,€11500K,€30K
Gervais Yao Kouassi,€8000K,€49K
Raffael Caetano de Araújo,€5500K,€33K
Carlos Izquierdoz,€8500K,€24K
Josef de Souza Dias,€8500K,€38K
Dieumerci Mbokani,€6500K,€17K
Adil Rami,€4900K,€58K
Rafael Pereira da Silva,€9000K,€61K
Bruno Viana Willemen Da Silva,€12000K,€13K
Ben Mee,€8500K,€37K
Nery Domínguez,€9000K,€23K
Domenico Berardi,€13000K,€50K
Sergio Guardiola Navarro,€10500K,€26K
Nathaniel Clyne,€9000K,€77K
Benjamin Hübner,€8500K,€35K
Cristian Ansaldi,€8000K,€45K
Adrien S. Perruchet Silva,€9500K,€40K
Gary Medel,€8000K,€32K
Michail Antonio,€10000K,€79K
Manuel García Sánchez,€6000K,€27K
Marco Sportiello,€6500K,€36K
Gastón Pereiro,€11500K,€16K
Unai Núñez Gestoso,€11500K,€19K
Neven Subotić,€7000K,€35K
Yohan Cabaye,€5000K,€32K
Iván Cuéllar Sacristán,€2400K,€14K
Lisandro López,€7500K,€23K
Matthieu Dossevi,€8000K,€32K
Iván Ramis Barrios,€3300K,€22K
Brian Fernández,€12000K,€9K
Marek Suchý,€6500K,€24K
Johnathan Aparecido Silva,€9000K,€20K
Davide Calabria,€11000K,€29K
Eljero Elia,€7000K,€37K
Michael Esser,€5500K,€23K
Danny Drinkwater,€8500K,€38K
Yannick Gerhardt,€11000K,€41K
Frank Acheampong,€12000K,€18K
Robin Knoche,€9500K,€39K
Tobias Strobl,€7500K,€27K
Donyell Malen,€14000K,€16K
Marcus Wendel Valle da Silva,€13000K,€11K
Vadis Odjidja-Ofoe,€8000K,€23K
Frank Fabra,€7500K,€23K
Graziano Pellè,€5500K,€23K
Fransérgio Rodrigues Barbosa,€9000K,€16K
Alan Kardec de Sousa Pereira Jr,€8500K,€13K
Fayçal Fajr,€8000K,€24K
Borja Mayoral Moya,€12500K,€24K
Gustavo Bou,€9000K,€11K
Antonio Sanabria,€12500K,€18K
Emmanuel Boateng,€12500K,€14K
Emre Akbaba,€10500K,€60K
Maxime Lopez,€12000K,€26K
Mahmoud Hassan,€11000K,€52K
Marko Livaja,€11000K,€1K
Milton Casco,€6500K,€22K
Adam Marušić,€9500K,€45K
Sergio Reguilón Rodríguez,€11500K,€14K
Jack Butland,€8500K,€27K
David Brooks,€14000K,€44K
Răzvan Marin,€11500K,€18K
Lewis Cook,€12500K,€52K
Pablo Pérez,€5000K,€22K
Dominic Calvert-Lewin,€12500K,€68K
Gérson Adriano Gutierres Serra,€6500K,€26K
Mario Pašalić,€12500K,€43K
M'Baye Niang,€12000K,€39K
Marvin Plattenhardt,€9000K,€26K
Angelo Ogbonna,€6500K,€65K
Rômulo Souza Orestes Caldeira,€7000K,€16K
Emerson Palmieri dos Santos,€10500K,€68K
Nabil Bentaleb,€11500K,€27K
Jhon Monsario,€0,€0
Guido Burgstaller,€8500K,€34K
Anaitz Arbilla Zabala,€5500K,€22K
Ignacio Scocco,€4700K,€26K
Luís Carlos Novo Neto,€6500K,€13K
Nahitan Nández,€12000K,€28K
Leandro Agustín Baezo,€0,€0
Andriy Pyatov,€2400K,€1K
Patrik Hrošovský,€10000K,€18K
Claudemir Domingues de Souza,€6500K,€14K
Wilson Bruno Naval Costa Eduardo,€9000K,€18K
Jorge Meré Pérez,€12000K,€22K
Sergio León Limones,€8500K,€27K
Sergio Rico González,€8000K,€46K
Yassine Bounou,€7500K,€14K
Emil Audero,€11500K,€21K
Nathan Redmond,€11000K,€54K
Eduardo Vargas,€8500K,€68K
Jonathan Calleri,€11500K,€29K
Simão Alvin Acunha Bardini,€8000K,€35K
Andrés Daniel Píriz,€0,€0
Conor Coady,€9500K,€65K
Lucas Ocampos,€11500K,€16K
Lucas Castro,€8000K,€33K
Vedad Ibišević,€4700K,€31K
Andreas Hugo Hoelgebaum Pereira,€12000K,€81K
Victor Sánchez Mata,€7500K,€28K
Ricardo Centurión,€10500K,€16K
Klaas-Jan Huntelaar,€4100K,€17K
Luiz Felipe Ramos Marchi,€12500K,€35K
Ole Kristian Selnæs,€10500K,€14K
Oğuzhan Özyakup,€10500K,€60K
Loïc Rémy,€7000K,€41K
Rodolfo Pizarro,€11500K,€40K
Gonzalo Martínez,€11000K,€10K
Ramón Ábila,€9000K,€27K
Ashley Young,€4000K,€85K
Sebastián Bruno Luna,€0,€0
Vicente Damián Castro,€0,€0
Tomás Rincón,€7500K,€42K
Djibril Sidibé,€9000K,€65K
Daler Kuzyaev,€0,€0
Guilherme dos Santos Torres,€9000K,€1K
Riccardo Saponara,€9500K,€19K
Cecilio Domínguez,€11500K,€19K
Andrea Poli,€8500K,€34K
Marco van Ginkel,€10500K,€87K
Miguel Luís Pinto Veloso,€5000K,€19K
Alan Dzagoev,€8500K,€45K
Lorenzo Tonelli,€7500K,€53K
Fernando Marçal de Oliveira,€7000K,€54K
Pontus Wernbloom,€4300K,€1K
Marcus Berg,€0,€0
Giovanni Sio,€8500K,€22K
Konrad Laimer,€12000K,€41K
João Alves de Assis Silva,€7000K,€11K
Ashley Westwood,€8500K,€38K
Leonardo Bittencourt,€11000K,€27K
Régis Gurtner,€5500K,€15K
Pablo Nascimento Castro,€8500K,€31K
Camilo Vargas,€6000K,€17K
Ibrahima Traoré,€8000K,€29K
Ignacio Camacho Barnola,€7500K,€41K
Odion Ighalo,€8500K,€20K
José Luis Palomino,€7500K,€47K
Lautaro Acosta,€8000K,€22K
Alexandros Paschalakis,€7000K,€1K
Lasse Schøne,€5000K,€19K
Cláudio Pires de Morais Ramos,€8000K,€7K
Noussair Mazraoui,€11000K,€13K
Youcef Atal,€12500K,€25K
Roberto Jiménez Gago,€4800K,€52K
Roger Martí Salvador,€9000K,€28K
Gary Cahill,€4200K,€47K
Pedro Mba Obiang Avomo,€9000K,€45K
Nordi Mukiele,€12000K,€30K
Niclas Füllkrug,€10500K,€31K
Vlad Chiricheș,€7500K,€47K
Samir Nasri,€7000K,€22K
Diego Javier Llorente Ríos,€10500K,€24K
Pedro Henrique Pereira da Silva,€10000K,€11K
Wenderson Nascimento Galeno,€12500K,€13K
Guido Rodríguez,€10000K,€41K
Chris Wood,€10500K,€39K
Estevão Daniel Formoso Serpa,€9500K,€26K
Pablo Rosario,€11000K,€15K
Matías Rojas,€12500K,€19K
Nicola Sansone,€9500K,€33K
Tom Cairney,€9000K,€46K
Ermin Bičakčić,€7500K,€33K
Iñigo Córdoba Kerejeta,€12000K,€23K
Pierre Lees-Melou,€10500K,€32K
Aleksandar Dragović,€8000K,€52K
Davy Pröpper,€9000K,€47K
Daniel Baier,€2800K,€17K
Karim Rekik,€10500K,€22K
Andrea Petagna,€12000K,€16K
Jesús Vallejo Lázaro,€11000K,€55K
Glenn Murray,€4100K,€39K
Luis Miguel Rodríguez,€4700K,€17K
Tomáš Koubek,€8000K,€19K
Leandro Chichizola,€7000K,€19K
Stefan Ristovski,€8000K,€13K
Amin Younes,€10500K,€53K
Pierre-Emile Højbjerg,€11500K,€45K
Davie Selke,€12000K,€27K
Wendell Nascimento Borges,€10000K,€47K
Edouard Mendy,€8000K,€30K
Pablo Hernández,€6500K,€22K
Mauricio Pereyra,€8500K,€10K
Patrick Cutrone,€14500K,€58K
Wylan Cyprien,€11000K,€25K
Fabricio Bustos,€11000K,€17K
Marco Benassi,€11000K,€43K
Jan Bednarek,€11000K,€41K
Paul Bernardoni,€9500K,€15K
Teemu Pukki,€9000K,€53K
Juraj Kucka,€6500K,€42K
Pablo Aguilar,€5500K,€25K
Anton Miranchuk,€13000K,€40K
Adama Soumaoro,€9500K,€34K
Renato Civelli,€2700K,€11K
Youssef El Arabi,€7000K,€1K
Zlatko Junuzović,€7500K,€37K
Marko Grujić,€13000K,€22K
Sebastian De Maio,€5500K,€17K
Darío Cvitanich,€4100K,€18K
Kevin Lasagna,€10500K,€20K
Romain Saïss,€7500K,€68K
Brais Méndez Portela,€13500K,€21K
Aritz Elustondo,€10500K,€24K
Marco Bizot,€7500K,€10K
Kaan Ayhan,€10000K,€24K
Nemanja Gudelj,€9000K,€16K
Jordan Lukaku,€11500K,€39K
Alejandro Berenguer Remiro,€12000K,€37K
Mouctar Diakhaby,€10500K,€26K
Douglas Renato de Jesus,€1500K,€6K
Will Hughes,€12000K,€52K
Jonas Martin,€8500K,€42K
Jack Grealish,€12500K,€47K
Sofiane Boufal,€10500K,€50K
Jefferson Farfán,€4500K,€47K
Renan Augusto Lodi dos Santos,€12000K,€31K
James Forrest,€9500K,€52K
Unai López Cabrera,€11500K,€21K
Dayot Upamecano,€14000K,€30K
Joakim Mæhle,€11000K,€14K
Scott McTominay,€11500K,€73K
Fernando Lopes dos Santos Varela,€6500K,€1K
Facundo Ferreyra,€9000K,€32K
Danilo Larangeira,€2700K,€21K
Lucas Pérez Martínez,€8500K,€27K
Patrick Herrmann,€9000K,€30K
Viktor Fischer,€11000K,€22K
Samuel Gigot,€10500K,€45K
Kevin Mbabu,€11000K,€33K
Ihlas Bebou,€11000K,€36K
Joe Hart,€5500K,€27K
Ondrej Duda,€12000K,€25K
Ramy Bensebaini,€10000K,€22K
Carlos Eduardo de Oliveira Alves,€8500K,€41K
Lisandro Martínez,€12000K,€13K
Nikola Vlašić,€13000K,€32K
Serdar Aziz,€9000K,€57K
André Filipe Brás André,€8500K,€13K
Kenny Tete,€10500K,€47K
Leonel Miranda,€11500K,€22K
Federico Valverde,€13000K,€86K
Alfonso Pedraza Sag,€12000K,€21K
Morgan Schneiderlin,€7500K,€68K
Claudio Bravo,€1500K,€47K
Baptiste Reynet,€7500K,€23K
Kevin Stöger,€11000K,€30K
Romain Hamouma,€7000K,€32K
Cristiano Piccini,€9000K,€31K
João Paulo Dias Fernandes,€11000K,€17K
Rafael Santos Borré,€12500K,€23K
Matías Vargas,€13500K,€27K
José Ignacio Martínez García,€7000K,€20K
Mauro Arambarri,€11000K,€19K
Javier García Fernández,€6000K,€22K
Philipp Max,€10000K,€23K
Christopher Nkunku,€13000K,€34K
Enes Ünal,€12500K,€20K
Renan Ribeiro,€7000K,€11K
Cenk Tosun,€9000K,€80K
Tomás Pina Isla,€7500K,€25K
Stefano Sensi,€11500K,€48K
Danny Latza,€8500K,€30K
Pione Sisto,€12000K,€23K
Gelson Tavares Fernandes,€6000K,€31K
Francisco L. Lima Silva Machado,€12500K,€13K
Omar Colley,€10500K,€32K
Mattia De Sciglio,€9000K,€77K
Gaël Clichy,€4000K,€34K
Danilo Manuel Vieira Espíndola,€6500K,€34K
Brandon Mechele,€10000K,€22K
Stefan Lainer,€9000K,€26K
Jonjo Shelvey,€10000K,€40K
Rubén Sobrino Pozuelo,€10500K,€36K
Giovanni Simeone,€12500K,€31K
Jeremain Lens,€8000K,€60K
Ramiro Funes Mori,€8500K,€30K
Steve Cook,€8000K,€57K
Christian Luyindama,€10000K,€52K
Paulo André Rodrigues Oliveira,€9000K,€22K
Antonín Barák,€11500K,€16K
Gustavo Cuéllar,€10500K,€35K
Alexander Djiku,€10500K,€23K
Otávio Henrique Passos Santos,€10000K,€28K
Theo Walcott,€8500K,€71K
Daryl Janmaat,€7500K,€57K
Rogelio Funes Mori,€9000K,€47K
Alessandro Schöpf,€11000K,€30K
Mohamed Elneny,€9500K,€54K
Mitchell Weiser,€10500K,€47K
Gonzalo Escalante,€10500K,€22K
Romain Alessandrini,€8500K,€10K
Pablo Renan dos Santos,€8500K,€13K
David Zurutuza,€6000K,€26K
Juan Miguel Jiménez López,€9000K,€24K
Federico Fernández,€6000K,€34K
Dimitrios Siovas,€6000K,€26K
Luiz Phellype Luciano Silva,€9500K,€14K
Angus Gunn,€8000K,€29K
Fabian Johnson,€7000K,€27K
Miroslav Stoch,€7500K,€1K
Igor Zubeldia Elorza,€10000K,€21K
Arthur Masuaku,€8500K,€57K
Diego Reyes,€8500K,€55K
João Maria Palhinha Gonçalves,€9500K,€12K
Nikola Milenković,€10000K,€30K
Eric Maxim Choupo-Moting,€7500K,€67K
Marvelous Nakamba,€8500K,€44K
Jorrit Hendrix,€9000K,€14K
José Izquierdo,€8500K,€48K
Danny Ings,€9000K,€53K
Théo Bongonda,€10500K,€16K
Fedor Chalov,€12000K,€33K
